ID;Slide Nr;Screen Nr;EN_Text
1;47;1;ECAS: Functions,components, systems
2;48;1;"Hi, I´m Freddie.Sorry, I don´t want to be the backseat driver here, but why ""functions""? I guess it has only one function, even the air suspension.But I´m shure, we will soon get to know it ..."
3;49;1;What you should know at the end of this module ...
3;49;1;The main function of ECAS and which special part the driving level I plays in this context
3;49;1;The system functions ECAS can fulfill beyond a pure air suspension
3;49;1;Which ECAS components are required for that
3;49;1;The configurations and the modes of operation of some typical ECAS systems, on motor vehicle, bus and trailer
3;49;1;The main operation steps of the ECAS remote-control unit
4;50;1;System functions of ECAS
5;51;1;Defined by
5;51;1;Reference level
5;51;1;Calibration
5;51;1;Parameterization
5;51;1;Remote-control unit
6;52;1;Driving level I
6;52;1;Adjusted during calibration of the height sensors according to the specifications of the vehicle manufacturer
6;52;1;Addressed using the remote-control unit, or automatically at a parameterized vehicle speed
7;53;1;Driving levels II and III:
7;53;1;Driving level I
7;53;1;Driving level II
7;53;1;e.g. with 70 km/h
7;53;1;Specified in counts, as difference to driving level I
7;53;1;e.g. for higher speeds, to save fuel
7;53;1;Triggered via a switch, using the remote-control unit, or in the case of driving level II by a parameterized speed
8;54;1;Driving level means the actual level during driving.
8;54;1;The height of the driving level is specified by the vehicle manufacturer, as the reference level for optimal driving characteristics.
8;54;1;The driving level I is achieved during calibration and is stored in the ECU as a count value.
8;54;1;The driving levels II and II are specified by parameterization, as difference values to driving level I.
8;54;1;A lower driving level II may be addressed at higher speeds to save fuel.
8;54;1;Confirm your selection with
8;54;1;[ Ready ]
8;54;1;Mark the right statements about the driving levels I, II and III used with ECAS.
8;54;1;That´s wrong. Driving levels are desired or reference levels during driving. The actual level may deviate more or less from it, e.g. caused by a bumpy road.
8;54;1;This statement is true, that´s the characteristic of driving level I.
8;54;1;That´s true. The driving level specified by the manufacturer has to be stored in the ECU when calibrating the height sensors.
8;54;1;This statement is true. The driving levels II and III are always specified in relationship to driving level I.
8;54;1;That´s correct. In many cases the driving level II is addressed automatically when exceeding a certain speed threshold.
8;54;1;Exactly, you checked the right statements.
9;55;1;Unloading level:
9;55;1;Driving level I
9;55;1;Unloading level
9;55;1;Specified in counts, as difference to driving level I
9;55;1;Advantageous for loading and unloading
9;55;1;Automatically or manually triggered
9;55;1;In the case of dump vehicles, hard bumping after quick unloading can be avoided to protect the stops.
10;56;1;Memory levels:
10;56;1;e.g. memory level 1
10;56;1;Adjustable and selectable by the driver at any time
10;56;1;Remain stored in the ECU
11;57;1;Using a memory level the height of a ramp can be stored and later on addressed again on the tip of a button.
11;57;1;On dump vehicles, an appropriate unloading level may be automatically achieved, to protect the stops when load material is quickly spilled.
11;57;1;The unloading level is specified by parameterizing, whereas the memory levels are defined using the ECAS remote-control unit.
11;57;1;"A so called unloading level is ""forgotten"", when the ignition is switched off, whereas the memory levels are permanently stored in the ECU."
11;57;1;Confirm your selection with
11;57;1;[ Ready ]
11;57;1;Mark the correct statements regarding the ECAS unloading level and the memory levels.
11;57;1;That´s correct, exactly for this purpose the memory levels provided by ECAS are mainly used.
11;57;1;This statement is right. Raising the dump body may actuate a switch to automatically lower it to a deeper unloading level. Even when load material is spilled quickly, a hard bumping is avoided.
11;57;1;This statement is correct: Only the memory levels are changable by the driver.
11;57;1;That´s not the case. Even the unloading level is permanently stored in the ECU like all other ECAS parameters.
11;57;1;Exactly, you detected all appropriate statements.
12;58;1;OK, this means, that the unloading level could only be changed in the workshop.Und with memory levels I have nothing to do, because they are adjusted by the driver.
13;59;1;Height limitation
13;59;1;Upper level
13;59;1;Lower level
13;59;1;The upper and the lower level are defined when calibrating the height sensors.
13;59;1;The distances to the mechanical stops can be freely selected.
14;60;1;Wheel load on the left
14;60;1;Wheel load on the right
14;60;1;Lateral stabilisation by implementing separate control circuits on the left and the right side of the rear axle
15;61;1;A lifting axle control is in ECAS integrated:
15;61;1;The lifting axle is lowered automatically when the permissible axle load of the main axle is exceeded or when the ignition is switched off.
15;61;1;The lifting axle is raised automatically either triggered by unloading, via a switch or using the remote-control unit.
16;61;2;Automatic lowering of the lifting axle:
16;61;2;Lowering of the lifting axle independent of the load condition
16;61;2;Using a switch or the remote-control unit
17;62;1;Clearance of lifting axle
17;62;1;Offset point adjustment
17;62;1;Offset point adjustment:
17;62;1;Increasing the driving level for better clearance of the lifting axle
17;62;1;"Also called ""lifting axle offset"""
18;63;1;Axle load
18;63;1;Traction
18;63;1;Traction help:
18;63;1;The traction of the driving axle is increased due to raising the lifting axle
18;63;1;Activation by using a switch or the ECAS remote-control unit
19;64;1;I see, the ECAS traction help works the same way as on my old BMW.In winter when we have black ice I usually load a sand bag into my car´s trunk, to get more load onto the rear wheels.With ECAS it´s a little bit easier.
20;65;1;Overload protection:
20;65;1;When overloaded, the superstructure is automatically lowered onto the lower stops.
20;65;1;Activiation via parameterization
21;66;1;Reference level when unladen
21;66;1;Reference level when loaded
21;66;1;Tyre deflection compensating:
21;66;1;The ride clearance is increased by the amount of the tyre deflection.
21;66;1;Thus the height of the shipping space can be increased.
22;67;1;When the vehicle is unladen the ride clearance is greater than when loaded.
22;67;1;This function enshures that the ground clearance is sufficient even when the tyre pressure is low.
22;67;1;Thus the shipping space of a trailer can be a bit larger as it could be without this ECAS function.
22;67;1;Due to this function the overall height of the loaded vehicle is smaller than when unladen.
22;67;1;Confirm your selection with
22;67;1;[ Ready ]
22;67;1;"Please mark the right statements about the ECAS function ""tyre deflection compensating""."
22;67;1;This statement is true. The ride clearance is increased by the same value as the tyres are deflected due to the load weight.
22;67;1;This statement is wrong. The tyre deflection compensating serves the aim to increase the height of the shipping space.
22;67;1;This is correct. If the vehicle is unladen the ride clearance is kept very short to enable an increased overall height.
22;67;1;That´s not true. The overall height remains the same regardless of the load weight.
22;67;1;Exactly, you marked all right statements.
23;68;1;Standby function
23;68;1;Battery box on the trailer
23;68;1;When the ignition is switched off ECAS continues to regulate the last desired level.
23;68;1;Preconditions: batteries in the trailer and sufficient air supply
23;68;1;More than 60 hours standby operation can be achieved.
24;69;1;Kneeling:
24;69;1;The entrance side is lowered to facilitate getting on and off the bus.
25;70;1;That´s a fine thing, this kneeling by means of ECAS. For wheelchair drivers and old people a stair can get a real problem.
26;71;1;The ECAS components
27;72;1;ECAS ECU
28;73;1;ECAS remote-control unit
28;73;1;ECAS solenoid valves
28;73;1;ECAS warning lamp
28;73;1;PC diagnosis
28;73;1;Pressure sensors
28;73;1;Height sensors
28;73;1;Parameter data
28;73;1;Fault memory
28;73;1;ECAS ECU
28;73;1;The ECAS ECU performs numerous tasks.
29;73;2;ECAS ECU
29;73;2;Microprocessor
29;73;2;Programin theROM
29;73;2;Parametersin the EEPROM
29;73;2;PC diagnosis
30;74;1;The integrated computer calculates on the basis of the input signals and the stored parameter values how the connected ECAS solenoid valves have to be actuated.
30;74;1;The program executed by the ECAS ECU is stored into the ECU using the PC diagnosis and can also be changed this way.
30;74;1;The calculations of the ECU are performed using parameter values which are unchangeably stored in a ROM module.
30;74;1;The ECAS ECU allows to access the stored messages and parameters by means of PC diganosis.
30;74;1;Confirm your selection with
30;74;1;[ Ready ]
30;74;1;Mark all right statements about the ECAS ECU.
30;74;1;This statement is correct, it describes the main task of the ECAS ECU.
30;74;1;That is wrong. The program is stored in a ROM module of the ECU and cannot be changed after delivery.
30;74;1;This statement is wrong. The parameters are stored in a writable memory and can be changed any time by means of the PC diagnosis.
